UID,Point_ID,Easting,Northing,Elevation,Timestamp,STN_Easting,STN_Northing,STN_Height,STN_Elevation,Target_Height,Horizontal_Angle,Vertical_Angle,Slope_Distance,Horizontal_Dist,Prism_Constant,Height_Diff
MR3_MR9023_2,MR9023,943.409,4942.908,196.717,11:55,,,,,1.543,"044° 44' 52""","268° 45' 34""",80.406,80.387,0,3.283
MR3_MR9024_1,MR9024,959.744,4963.602,197.154,11:56,,,,,1.543,"047° 52' 53""","268° 37' 27""",54.287,54.272,0,2.846
MR3_MR9024_2,MR9024,959.744,4963.601,197.149,11:56,,,,,1.543,"227° 52' 52""","091° 22' 50""",54.288,54.272,0,2.851
MR3_MR9025_1,MR9025,969.393,4975.161,197.583,11:56,,,,,1.543,"230° 56' 20""","091° 16' 13""",39.427,39.418,0,2.417
MR3_MR9025_2,MR9025,969.393,4975.161,197.587,11:56,,,,,1.543,"050° 56' 20""","268° 44' 06""",39.428,39.418,0,2.413
MR3_MR9026_1,MR9026,980.983,4988.683,198.029,11:57,,,,,1.543,"059° 14' 34""","268° 53' 27""",22.133,22.129,0,1.971
MR3_MR9026_2,MR9026,980.983,4988.683,198.027,11:57,,,,,1.543,"239° 14' 34""","091° 06' 46""",22.133,22.129,0,1.973
MR3_MR9027_1,MR9027,994.684,5004.646,198.542,11:57,,,,,1.543,"311° 09' 08""","089° 18' 37""",7.060,7.060,0,1.458
MR3_MR9027_2,MR9027,994.684,5004.646,198.542,11:57,,,,,1.543,"131° 09' 11""","270° 41' 28""",7.060,7.060,0,1.458
MR3_MR9028_1,MR9028,1008.453,5020.653,198.936,11:58,,,,,1.543,"202° 15' 29""","271° 13' 42""",22.321,22.316,0,1.064
MR3_MR9028_2,MR9028,1008.453,5020.653,198.935,11:58,,,,,1.543,"022° 15' 28""","088° 46' 26""",22.321,22.316,0,1.065
MR3_MR9029_1,MR9029,1020.120,5034.287,199.260,11:58,,,,,1.543,"030° 24' 19""","088° 50' 37""",39.762,39.754,0,0.740
MR3_MR9029_2,MR9029,1020.120,5034.287,199.263,11:58,,,,,1.543,"210° 24' 15""","271° 09' 40""",39.762,39.754,0,0.737
MR3_MR9030_1,MR9030,1033.844,5050.274,199.590,11:59,,,,,1.543,"213° 56' 53""","271° 04' 16""",60.614,60.604,0,0.410
MR3_MR9030_2,MR9030,1033.844,5050.273,199.586,11:59,,,,,1.543,"033° 56' 54""","088° 56' 00""",60.614,60.604,0,0.414
MR3_MR9031_1,MR9031,1045.587,5063.830,199.772,11:59,,,,,1.543,"035° 32' 03""","089° 02' 23""",78.448,78.437,0,0.228
MR3_MR9031_2,MR9031,1045.586,5063.829,199.782,11:59,,,,,1.543,"215° 32' 03""","270° 58' 02""",78.448,78.437,0,0.218
MR3_MR9032_1,MR9032,1059.510,5079.977,200.376,12:00,,,,,1.543,"216° 39' 09""","271° 06' 09""",99.706,99.688,0,0.376
MR3_MR9032_2,MR9032,1059.510,5079.976,200.367,12:00,,,,,1.543,"036° 39' 12""","088° 54' 10""",99.706,99.688,0,0.367
MR3_MR9032_3,MR9032,1059.510,5079.976,200.366,12:00,,,,,1.543,"036° 39' 11""","088° 54' 13""",99.706,99.688,0,0.366
MR3_MR9032_4,MR9032,1059.509,5079.977,200.378,12:00,,,,,1.543,"216° 39' 07""","271° 06' 13""",99.706,99.688,0,0.378
,MR4,,,,,1000.000,5000.000,0.000,200.000,,,,,,,
MR4_4_1,4,,,,12:06,,,,,0.000,"360° 00' 00""","088° 34' 49""",,,0,
MR4_MR9032_1,MR9032,939.232,4920.926,196.526,12:07,,,,,1.543,"217° 32' 31""","091° 06' 36""",99.745,99.727,0,3.474
MR4_MR9032_2,MR9032,939.233,4920.926,196.536,12:07,,,,,1.543,"037° 32' 30""","268° 53' 45""",99.745,99.726,0,3.464
MR4_MR9032_3,MR9032,939.232,4920.926,196.536,12:07,,,,,1.543,"037° 32' 31""","268° 53' 46""",99.745,99.727,0,3.464
MR4_MR9032_4,MR9032,939.233,4920.926,196.527,12:07,,,,,1.543,"217° 32' 30""","091° 06' 32""",99.745,99.726,0,3.473
MR4_MR9033_1,MR9033,950.474,4938.361,197.042,12:08,,,,,1.543,"218° 46' 53""","091° 01' 31""",79.083,79.071,0,2.958
MR4_MR9033_2,MR9033,950.473,4938.362,197.049,12:08,,,,,1.543,"038° 46' 55""","268° 58' 45""",79.083,79.071,0,2.951
MR4_MR9034_1,MR9034,960.177,4953.445,197.390,12:08,,,,,1.543,"040° 32' 36""","269° 00' 08""",61.273,61.264,0,2.610
MR4_MR9034_2,MR9034,960.177,4953.444,197.386,12:08,,,,,1.543,"220° 32' 34""","091° 00' 07""",61.274,61.264,0,2.614
MR4_MR9035_1,MR9035,971.313,4971.160,197.850,12:09,,,,,1.543,"224° 50' 53""","090° 51' 16""",40.682,40.677,0,2.150
MR4_MR9035_2,MR9035,971.313,4971.161,197.853,12:09,,,,,1.543,"044° 50' 54""","269° 08' 56""",40.682,40.677,0,2.147
MR4_MR9036_1,MR9036,983.019,4988.572,198.122,12:10,,,,,1.543,"056° 03' 33""","269° 03' 47""",20.471,20.469,0,1.878
MR4_MR9036_2,MR9036,983.019,4988.572,198.121,12:10,,,,,1.543,"236° 03' 35""","090° 56' 23""",20.471,20.469,0,1.879
MR4_MR9037_1,MR9037,992.182,5004.267,198.643,12:10,,,,,1.543,"298° 37' 38""","088° 48' 23""",8.909,8.907,0,1.357
MR4_MR9037_2,MR9037,992.182,5004.268,198.643,12:10,,,,,1.543,"118° 37' 40""","271° 11' 44""",8.909,8.907,0,1.357
MR4_MR9038_1,MR9038,1002.715,5022.189,199.485,12:11,,,,,1.543,"186° 58' 31""","272° 37' 58""",22.378,22.354,0,0.515
MR4_MR9038_2,MR9038,1002.715,5022.189,199.484,12:11,,,,,1.543,"006° 58' 33""","087° 22' 10""",22.378,22.354,0,0.516
MR4_MR9039_1,MR9039,1013.175,5040.084,199.977,12:11,,,,,1.543,"018° 11' 41""","087° 56' 15""",42.221,42.194,0,0.023
MR4_MR9039_2,MR9039,1013.176,5040.084,199.980,12:11,,,,,1.543,"198° 11' 44""","272° 04' 04""",42.222,42.194,0,0.020
MR4_MR9040_1,MR9040,1022.202,5055.556,200.360,12:12,,,,,1.543,"201° 46' 59""","271° 49' 18""",59.858,59.828,0,0.360
MR4_MR9040_2,MR9040,1022.203,5055.556,200.356,12:12,,,,,1.543,"021° 47' 02""","088° 10' 56""",59.858,59.828,0,0.356
MR4_MR9041_1,MR9041,1032.740,5073.562,200.646,12:12,,,,,1.543,"023° 59' 32""","088° 26' 36""",80.549,80.519,0,0.646
MR4_MR9041_2,MR9041,1032.741,5073.561,200.651,12:12,,,,,1.543,"203° 59' 35""","271° 33' 38""",80.548,80.519,0,0.651
MR4_MR9042_1,MR9042,1043.151,5091.342,201.186,12:13,,,,,1.543,"205° 17' 12""","271° 32' 49""",101.058,101.021,0,1.186
MR4_MR9042_2,MR9042,1043.148,5091.343,201.178,12:13,,,,,1.543,"025° 17' 05""","088° 27' 26""",101.058,101.022,0,1.178
MR4_MR9042_3,MR9042,1043.148,5091.343,201.179,12:13,,,,,1.543,"025° 17' 05""","088° 27' 24""",101.058,101.022,0,1.179
MR4_MR9042_4,MR9042,1043.149,5091.343,201.188,12:13,,,,,1.543,"205° 17' 07""","271° 32' 54""",101.059,101.022,0,1.188
,MR5,,,,,1000.000,5000.000,0.000,200.000,,,,,,,
MR5_5_1,5,,,,12:18,,,,,0.000,"000° 00' 00""","078° 08' 13""",,,0,
MR5_MR9042_1,MR9042,941.878,4919.953,195.401,12:18,,,,,1.543,"215° 58' 60""","091° 46' 11""",98.969,98.922,0,4.599
MR5_MR9042_2,MR9042,941.880,4919.952,195.408,12:18,,,,,1.543,"035° 58' 56""","268° 14' 03""",98.969,98.922,0,4.592
MR5_MR9042_3,MR9042,941.880,4919.952,195.409,12:19,,,,,1.543,"035° 58' 55""","268° 14' 04""",98.969,98.922,0,4.591
MR5_MR9042_4,MR9042,941.881,4919.952,195.401,12:19,,,,,1.543,"215° 58' 53""","091° 46' 11""",98.969,98.922,0,4.599
MR5_MR9043_1,MR9043,952.119,4937.934,196.054,12:19,,,,,1.543,"217° 38' 53""","091° 45' 21""",78.426,78.389,0,3.946
MR5_MR9043_2,MR9043,952.120,4937.933,196.061,12:20,,,,,1.543,"037° 38' 50""","268° 14' 55""",78.426,78.389,0,3.939
MR5_MR9044_1,MR9044,960.379,4953.924,196.485,12:20,,,,,1.543,"040° 41' 33""","268° 08' 30""",60.801,60.769,0,3.515
MR5_MR9044_2,MR9044,960.379,4953.924,196.481,12:20,,,,,1.543,"220° 41' 32""","091° 51' 45""",60.801,60.769,0,3.519
MR5_MR9045_1,MR9045,970.259,4972.073,197.223,12:20,,,,,1.543,"226° 48' 04""","091° 43' 58""",40.816,40.798,0,2.777
MR5_MR9045_2,MR9045,970.259,4972.072,197.225,12:21,,,,,1.543,"046° 48' 03""","268° 16' 14""",40.817,40.798,0,2.775
MR5_MR9046_1,MR9046,980.273,4990.462,197.778,12:21,,,,,1.543,"064° 11' 48""","268° 13' 32""",21.922,21.911,0,2.222
MR5_MR9046_2,MR9046,980.273,4990.463,197.777,12:21,,,,,1.543,"244° 11' 52""","091° 46' 42""",21.922,21.911,0,2.223
MR5_MR9047_1,MR9047,988.706,5006.170,198.388,12:21,,,,,1.543,"298° 38' 54""","090° 18' 23""",12.870,12.870,0,1.612
MR5_MR9047_2,MR9047,988.706,5006.170,198.389,12:22,,,,,1.543,"118° 38' 52""","269° 41' 48""",12.870,12.870,0,1.611
MR5_MR9048_1,MR9048,998.662,5024.544,199.017,12:22,,,,,1.543,"176° 52' 47""","271° 18' 22""",24.587,24.581,0,0.983
MR5_MR9048_2,MR9048,998.662,5024.544,199.016,12:22,,,,,1.543,"356° 52' 48""","088° 41' 49""",24.587,24.581,0,0.984
MR5_MR9049_1,MR9049,1008.644,5042.888,199.697,12:22,,,,,1.543,"011° 23' 44""","088° 22' 34""",43.768,43.751,0,0.303
MR5_MR9049_2,MR9049,1008.645,5042.888,199.701,12:22,,,,,1.543,"191° 23' 45""","271° 37' 42""",43.768,43.751,0,0.299
MR5_MR9050_1,MR9050,1018.581,5061.261,200.353,12:23,,,,,1.543,"196° 52' 24""","271° 41' 46""",64.045,64.017,0,0.353
MR5_MR9050_2,MR9050,1018.581,5061.262,200.347,12:23,,,,,1.543,"016° 52' 21""","088° 18' 33""",64.046,64.018,0,0.347
MR5_MR9051_1,MR9051,1027.247,5076.855,201.104,12:23,,,,,1.543,"019° 31' 13""","088° 08' 27""",81.585,81.542,0,1.104
MR5_MR9051_2,MR9051,1027.247,5076.855,201.115,12:23,,,,,1.543,"199° 31' 14""","271° 52' 00""",81.585,81.542,0,1.115
MR5_MR9052_1,MR9052,1037.265,5095.214,201.985,12:24,,,,,1.543,"201° 22' 28""","271° 58' 32""",102.307,102.247,0,1.985
MR5_MR9052_2,MR9052,1037.264,5095.214,201.974,12:24,,,,,1.543,"021° 22' 27""","088° 01' 48""",102.307,102.246,0,1.974
MR5_MR9052_3,MR9052,1037.265,5095.214,201.975,12:24,,,,,1.543,"021° 22' 28""","088° 01' 46""",102.307,102.246,0,1.975
MR5_MR9052_4,MR9052,1037.265,5095.214,201.984,12:24,,,,,1.543,"201° 22' 28""","271° 58' 32""",102.307,102.246,0,1.984
,MR6,,,,,1000.000,5000.000,0.000,200.000,,,,,,,
MR6_6_1,6,,,,12:29,,,,,0.000,"360° 00' 00""","075° 34' 30""",,,0,
MR6_MR9052_1,MR9052,939.067,4917.355,194.269,12:30,,,,,1.543,"216° 24' 03""","092° 20' 10""",102.765,102.680,0,5.731
MR6_MR9052_2,MR9052,939.068,4917.353,194.278,12:30,,,,,1.543,"036° 23' 58""","267° 40' 08""",102.765,102.680,0,5.722
MR6_MR9052_3,MR9052,939.068,4917.354,194.276,12:30,,,,,1.543,"036° 24' 00""","267° 40' 05""",102.765,102.680,0,5.724
MR6_MR9052_4,MR9052,939.067,4917.355,194.266,12:30,,,,,1.543,"216° 24' 02""","092° 20' 15""",102.765,102.679,0,5.734
MR6_MR9053_1,MR9053,950.893,4934.537,195.107,12:30,,,,,1.543,"216° 52' 31""","092° 20' 39""",81.903,81.835,0,4.893
MR6_MR9053_2,MR9053,950.895,4934.535,195.112,12:30,,,,,1.543,"036° 52' 25""","267° 39' 31""",81.903,81.835,0,4.888
MR6_MR9054_1,MR9054,962.596,4951.562,195.717,12:31,,,,,1.543,"037° 40' 31""","267° 26' 12""",61.260,61.198,0,4.283
MR6_MR9054_2,MR9054,962.596,4951.563,195.712,12:31,,,,,1.543,"217° 40' 35""","092° 34' 08""",61.260,61.198,0,4.288
MR6_MR9055_1,MR9055,972.679,4966.309,196.370,12:32,,,,,1.543,"219° 02' 23""","092° 45' 16""",43.427,43.377,0,3.630
MR6_MR9055_2,MR9055,972.679,4966.309,196.374,12:32,,,,,1.543,"039° 02' 23""","267° 15' 01""",43.427,43.377,0,3.626
MR6_MR9056_1,MR9056,984.563,4983.379,197.439,12:32,,,,,1.543,"042° 53' 03""","267° 25' 48""",22.706,22.684,0,2.561
